artist_count,released_year,released_month,released_day,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,2022,9,8,362361576,105,76,49,56,80,12,10,13
2,2022,12,23,93587665,83,53,40,36,73,0,11,33
4,2021,9,3,1223481149,77,72,59,76,24,0,42,28
1,2017,8,25,1022258230,140,75,18,25,78,0,11,26
2,2022,11,3,263453310,158,65,72,95,31,0,92,5
2,2019,6,28,1435127549,176,75,43,65,15,0,11,32
2,2022,10,20,236857112,98,73,88,57,56,0,5,2
1,2023,1,27,147538971,107,66,47,40,72,0,11,3
1,2020,2,19,698086140,109,66,16,57,10,1,12,3
1,2022,7,15,723894473,109,84,72,74,10,0,34,7
1,2023,3,3,34450974,148,53,61,81,5,0,36,4
1,2020,5,20,403097450,158,60,52,76,17,0,19,5
2,2022,9,29,309483971,94,74,64,73,6,0,10,6
1,2022,10,12,319566866,96,70,40,51,35,0,10,4
1,2022,5,6,909001996,100,80,29,67,29,0,12,3
2,2021,9,24,1061966512,105,58,42,68,1,0,14,4
1,2023,3,3,32526947,125,53,32,66,38,0,9,3
1,2023,1,27,124988687,170,56,56,63,13,0,19,27
3,2023,1,27,103787664,115,70,84,90,17,0,41,6
1,2023,1,27,134255790,122,64,25,89,0,0,15,9
1,2022,10,17,301051721,105,88,82,80,8,0,11,8
1,2022,11,30,156338624,133,66,74,84,25,0,21,4
2,2023,1,13,152850295,100,79,60,68,7,0,26,4
1,2022,10,28,309653982,120,82,55,45,15,3,9,10
1,2022,10,28,297328960,177,25,17,30,90,0,13,3
1,2022,9,22,332506354,142,64,31,72,15,0,9,5
1,2016,11,4,480507035,144,57,47,84,1,1,52,4
2,2019,4,12,1065580332,120,65,80,86,9,0,19,10
1,2016,9,27,122763672,135,92,73,51,55,0,15,6
6,2022,12,22,1365184,105,82,62,74,10,0,33,7
2,2022,11,25,184308753,108,44,38,77,9,0,9,20
3,2022,11,20,323358833,115,71,34,88,16,0,44,4
2,2022,4,21,606361689,174,70,57,64,23,0,8,32
3,2023,1,12,120972253,90,68,83,71,3,0,31,8
1,2022,7,21,338564981,141,41,9,25,84,1,14,4
1,2014,1,1,1606986953,82,68,50,49,56,0,8,4
1,2020,3,20,1301799902,92,47,25,43,62,0,32,3
6,2022,12,12,140187018,116,77,65,80,6,0,15,4
1,2023,1,27,107642809,125,71,83,89,1,0,17,9
1,2022,8,19,551305895,90,80,71,69,2,0,27,10
3,2022,4,27,556585270,83,46,34,64,31,0,7,34
1,2019,10,31,2303033973,124,79,68,79,1,0,10,8
1,2014,8,8,646886885,140,58,4,60,7,41,8,3
2,2022,9,16,222612678,154,64,61,91,15,0,72,4
1,2020,1,10,872137015,186,41,9,61,2,0,12,5
1,2015,4,22,571386359,166,40,23,48,5,0,12,3
2,2022,9,22,304079786,107,87,20,83,0,4,31,9
3,2022,9,9,174006928,87,87,52,52,31,0,28,24
1,2022,8,5,284785823,82,40,39,64,21,0,7,7
1,2022,12,9,163284000,114,46,60,28,91,0,21,4
1,2022,11,4,246390068,148,47,15,52,38,13,29,5
1,2022,7,20,482257456,140,91,97,57,38,0,40,29
1,2022,10,3,168684524,101,90,76,81,15,24,33,6
3,2022,1,17,78489819,140,81,6,84,5,23,6,6
3,2022,12,2,195516622,88,49,24,66,19,0,18,29
1,2021,6,4,1260594497,180,64,44,65,28,0,14,12
1,2022,8,12,428685680,133,95,91,89,6,0,31,24
1,1985,9,16,1024858327,108,63,20,55,72,0,6,6
1,1973,1,5,838586769,80,39,24,43,39,0,23,3
1,2022,8,11,199386237,75,80,46,62,3,6,11,46
2,2021,7,30,972509632,121,67,26,64,52,0,17,10
